dataid;name;farmerid;area;ton;year
181;Badem;1;7800;37000;2004
182;Badem;1;8200;45000;2005
183;Badem;1;8310;43285;2006
184;Badem;1;9950;50753;2007
185;Badem;1;10913;52774;2008
186;Badem;1;13120;54844;2009
187;Badem;1;17147;55398;2010
188;Badem;1;20503;69838;2011
189;Badem;1;23554;80261;2012
190;Badem;1;25457;82850;2013
191;Badem;1;27020;73230;2014
192;Badem;1;29671;80000;2015
193;Badem;1;33322;85000;2016
194;Badem;1;35202;90000;2017
195;Badem;1;42191;100000;2018
181;Zeytin;1;644000;1600000;2004
182;Zeytin;1;662000;1200000;2005
183;Zeytin;1;711842;1767000;2006
184;Zeytin;1;753000;1075854;2007
185;Zeytin;1;774370;1464248;2008
186;Zeytin;1;778413;1290654;2009
187;Zeytin;1;784031;1415000;2010
188;Zeytin;1;798493;1750000;2011
189;Zeytin;1;813765;1820000;2012
190;Zeytin;1;825826;1676000;2013
191;Zeytin;1;826092;1768000;2014
192;Zeytin;1;836935;1700000;2015
193;Zeytin;1;845542;1730000;2016
194;Zeytin;1;846062;2100000;2017
195;Zeytin;1;864428;1500467;2018
